station,total_borrow,peak_ratio,weekend_ratio,morning_net_flow_mean,evening_net_flow_mean,morning_net_flow_sum,evening_net_flow_sum,volatility,station_type,imbalance_score,risk_level,dispatch_strategy
3樓客服中心,7.0,0.2857142857142857,0.14285714285714285,0.0,-1.0,0.0,-2.0,0.816496580927726,穩定休閒型,2.0,Low,常規運營監控
?公公園,6184.0,0.421248382923674,0.3344113842173351,1.6071428571428572,-0.8828828828828829,135.0,-98.0,8.157328429432805,穩定休閒型,233.0,Medium,定時監控與小規模調度
一壽橋,1767.0,0.4985851726089417,0.35880022637238257,2.3125,-0.4230769230769231,185.0,-44.0,2.8750890899140846,潮汐流出型,229.0,Medium,定時監控與小規模調度
一江公園,2244.0,0.4875222816399287,0.24509803921568626,-1.15,1.6822429906542056,-92.0,180.0,3.7626487899467973,穩定休閒型,272.0,Medium,定時監控與小規模調度
一江南京東路口(西南側),413.0,0.4188861985472155,0.2736077481840194,-0.6666666666666666,0.4857142857142857,-18.0,17.0,2.3404344997881785,穩定休閒型,35.0,Low,常規運營監控
三井Outlet,0.0,0.0,0.0,,-2.0,0.0,-2.0,,穩定休閒型,2.0,Low,常規運營監控
三俊街65巷口,0.0,0.0,0.0,,-1.0,0.0,-1.0,,穩定休閒型,1.0,Low,常規運營監控
三信集英路口,0.0,0.0,0.0,,-1.125,0.0,-9.0,0.0,穩定休閒型,9.0,Low,常規運營監控
三光國小(金滿意),0.0,0.0,0.0,-1.125,-1.75,-18.0,-77.0,0.0,穩定休閒型,95.0,Low,常規運營監控
三和慈愛街口,0.0,0.0,0.0,,-1.25,0.0,-5.0,0.0,穩定休閒型,5.0,Low,常規運營監控
三和路四段73號旁,0.0,0.0,0.0,-1.0,-1.0,-1.0,-2.0,0.0,穩定休閒型,3.0,Low,常規運營監控
三和龍門路口,0.0,0.0,0.0,,-1.1333333333333333,0.0,-17.0,0.0,穩定休閒型,17.0,Low,常規運營監控
三峽區公所(三峽老街),0.0,0.0,0.0,-1.0,-2.0,-2.0,-4.0,0.0,穩定休閒型,6.0,Low,常規運營監控
三峽區礁溪行政中心,0.0,0.0,0.0,,,0.0,0.0,,穩定休閒型,0.0,Low,常規運營監控
三峽國光青年社會住宅,0.0,0.0,0.0,-1.0,,-1.0,0.0,0.0,穩定休閒型,1.0,Low,常規運營監控
三張公園,0.0,0.0,0.0,-1.0,-1.0,-1.0,-5.0,0.0,穩定休閒型,6.0,Low,常規運營監控
三張犁,8011.0,0.49581824990637874,0.28822868555735864,5.552941176470588,-3.3482142857142856,472.0,-375.0,10.735105679928946,潮汐流出型,847.0,High,早高峰前提前補車
三德公園,0.0,0.0,0.0,-1.0,-1.0740740740740742,-1.0,-29.0,0.0,穩定休閒型,30.0,Low,常規運營監控
三抱竹,0.0,0.0,0.0,,-1.0833333333333333,0.0,-13.0,0.0,穩定休閒型,13.0,Low,常規運營監控
三樹大學路口,0.0,0.0,0.0,,-1.0,0.0,-3.0,0.0,穩定休閒型,3.0,Low,常規運營監控
三樹大德路口,0.0,0.0,0.0,,-2.0,0.0,-2.0,,穩定休閒型,2.0,Low,常規運營監控
三民中山一路口,0.0,0.0,0.0,,-1.2,0.0,-12.0,0.0,穩定休閒型,12.0,Low,常規運營監控
三民公園,1957.0,0.5017884517118038,0.3469596320899336,2.1666666666666665,-3.2818181818181817,182.0,-361.0,3.1216421681215136,通勤型,543.0,High,雙高峰動態調度
三民公園(塔悠路),817.0,0.4944920440636475,0.3488372093023256,0.9864864864864865,-0.4056603773584906,73.0,-43.0,1.6775371577178564,穩定休閒型,116.0,Low,常規運營監控
三民國中(民權東路六段47巷),575.0,0.6278260869565218,0.2678260869565217,0.8441558441558441,-1.2549019607843137,65.0,-128.0,1.5746154084879886,通勤型,193.0,Medium,定時監控與小規模調度
三民國小(撫遠街),1936.0,0.53099173553719,0.35640495867768596,2.493827160493827,-3.4722222222222223,202.0,-375.0,3.3134253574619015,潮汐流出型,577.0,High,早高峰前提前補車
三民地下停車場,0.0,0.0,0.0,,-1.0740740740740742,0.0,-29.0,0.0,穩定休閒型,29.0,Low,常規運營監控
