station,total_borrow,peak_ratio,weekend_ratio,morning_net_flow_mean,evening_net_flow_mean,morning_net_flow_sum,evening_net_flow_sum,volatility,station_type,imbalance_score,risk_level
捷運公館站(2號出口),48786.0,0.447259459681056,0.28760300086090274,47.666666666666664,-60.464285714285715,4004.0,-6772.0,58.556914047381355,潮汐流出型,10776.0,High
捷運公館站(3號出口),31366.0,0.4499458011859976,0.29879487342982847,48.083333333333336,-54.68141592920354,4039.0,-6179.0,40.668966238273775,潮汐流出型,10218.0,High
松仁路95巷口,15019.0,0.4891803715293961,0.27731540049270925,-53.79761904761905,21.464285714285715,-4519.0,2404.0,27.946735006563106,潮汐流入型,6923.0,High
敦化南路二段103巷口,6181.0,0.6189936903413688,0.10192525481313704,-42.86904761904762,23.27027027027027,-3601.0,2583.0,20.073101877748872,潮汐流入型,6184.0,High
臺大女九舍西南側,11790.0,0.4253604749787956,0.14156064461407972,-44.42857142857143,20.982142857142858,-3732.0,2350.0,25.711116371728263,潮汐流入型,6082.0,High
瑞湖陽光街口,3999.0,0.6769192298074519,0.07826956739184796,-33.273809523809526,19.642857142857142,-2795.0,2200.0,15.820085260283145,潮汐流入型,4995.0,High
臺大第一活動中心西南側,21039.0,0.4365701791910262,0.21122676933314322,-32.80952380952381,18.911504424778762,-2756.0,2137.0,41.45245901163485,潮汐流入型,4893.0,High
劍潭基河路口,12713.0,0.5376386376150397,0.28498387477385356,-30.547619047619047,19.080357142857142,-2566.0,2137.0,18.916824987899727,潮汐流入型,4703.0,High
臺大社會系館南側,6823.0,0.5120914553715374,0.14685622160340026,-27.142857142857142,18.883928571428573,-2280.0,2115.0,18.833422581312426,潮汐流入型,4395.0,High
臺灣科技大學側門,17129.0,0.43149045478428394,0.19820187985288107,-24.202380952380953,19.589285714285715,-2033.0,2194.0,30.037197222050715,潮汐流入型,4227.0,High
臺北醫學大學,12513.0,0.4810197394709502,0.22512586909614002,-30.392857142857142,13.232142857142858,-2553.0,1482.0,19.428710801830405,潮汐流入型,4035.0,High
捷運中山國中站,23716.0,0.5382863889357395,0.2684685444425704,-15.654761904761905,23.142857142857142,-1315.0,2592.0,31.854030659291954,潮汐流入型,3907.0,High
百齡國小,8401.0,0.5473157957386026,0.2962742530651113,24.776470588235295,-14.741071428571429,2106.0,-1651.0,13.714056020959378,潮汐流出型,3757.0,High
捷運北投站(1號出口),12334.0,0.5192962542565267,0.30257823901410735,-28.632183908045977,7.732142857142857,-2491.0,866.0,17.39687349980361,潮汐流入型,3357.0,High
民生敦化路口,7003.0,0.5497643866914179,0.22333285734685135,-19.49411764705882,13.883928571428571,-1657.0,1555.0,13.558167490306332,潮汐流入型,3212.0,High
敦化基隆路口,4520.0,0.5015486725663717,0.1168141592920354,-24.571428571428573,10.0625,-2064.0,1127.0,11.261409927346277,潮汐流入型,3191.0,High
臺大圖資系館北側,5803.0,0.4266758573151818,0.12528002757194553,-19.573333333333334,14.378378378378379,-1468.0,1596.0,17.128680909994063,潮汐流入型,3064.0,High
中山徐州路口,7903.0,0.466784765279008,0.21978995318233582,-16.511627906976745,14.196428571428571,-1420.0,1590.0,12.770934082611726,潮汐流入型,3010.0,High
洲子二號公園,3432.0,0.5431235431235432,0.11305361305361306,-20.773809523809526,10.354545454545455,-1745.0,1139.0,8.762407105236713,潮汐流入型,2884.0,High
臺大小福樓東側,15646.0,0.3788827815416081,0.09906685414802506,-19.69047619047619,10.5,-1654.0,1176.0,39.175204338402345,潮汐流入型,2830.0,High
